[S]	-118	200	733
[S]	-118	200	717
[G]	2012-08-24 15:49:25	N39.805093	W86.158906	51	2
[S]	-100	218	751
[S]	-133	151	784
[S]	-133	233	684
[S]	-118	200	733
[S]	-118	166	684
[S]	-151	200	751
[S]	-166	200	766
[S]	-184	385	367
[S]	-133	151	666
[S]	-218	118	600
[G]	2012-08-24 15:49:26	N39.805230	W86.158905	53	3
[S]	-100	151	717
[S]	-118	200	766
[S]	-67	218	733
[S]	-85	184	699
[S]	-85	151	733
[S]	-133	166	766
[S]	-85	184	766
[S]	-67	166	733
[S]	-67	184	717
[S]	-184	218	633
[G]	2012-08-24 15:49:27	N39.805370	W86.158910	53	2
[S]	-85	184	766
[S]	18	251	766
[S]	-51	251	717
[S]	-33	200	784
[S]	-85	285	766
[S]	-51	218	733
[S]	-85	200	684
[S]	-67	233	751
[S]	-67	233	751
[S]	-51	218	733
[G]	2012-08-24 15:49:28	N39.805506	W86.158910	53	2
[S]	-67	218	717
[S]	-51	233	717
[S]	-100	200	733
[S]	-85	267	717
[S]	-85	184	717
[S]	-85	200	751
[S]	0	184	751
[S]	-85	218	784
[S]	-118	133	699
[S]	-100	166	717
[G]	2012-08-24 15:49:29	N39.805641	W86.158910	53	2
[S]	-85	166	633
[S]	-67	151	784
[S]	-67	218	766
[S]	-100	133	751
[S]	-118	184	733
[S]	-67	200	733
[S]	-118	166	717
[S]	-133	233	699
[S]	-166	200	717
[S]	-118	184	751
[G]	2012-08-24 15:49:30	N39.805783	W86.158913	54	3
[S]	-118	218	699
[S]	-100	184	717
[S]	-85	184	733
[S]	-133	218	717
[S]	-133	218	717
[S]	-133	218	717
[S]	-100	200	751
[S]	-100	218	751
[S]	-133	233	751
[S]	-100	251	751
[G]	2012-08-24 15:49:31	N39.805931	W86.158921	55	2
[S]	-100	251	717
[S]	-118	233	751
[S]	-100	233	717
[S]	-100	233	699
[S]	-118	267	717
[S]	-118	267	751
[S]	-100	218	733
[S]	-100	233	717
[S]	-18	184	717
[S]	-100	166	751
[G]	2012-08-24 15:49:32	N39.806071	W86.158915	55	3
[S]	-67	184	751
[S]	-85	151	717
[S]	-118	166	733
[S]	-67	151	784
[S]	-85	184	733
[S]	-67	184	684
[S]	-118	118	800
[S]	18	151	751
[S]	-85	133	699
[S]	-51	200	666
[G]	2012-08-24 15:49:34	N39.806363	W86.158916	55	3
[S]	-85	33	600
[S]	-85	133	733
[S]	-85	151	784
[S]	-100	151	784
[S]	-151	151	717
[S]	33	218	766
[S]	-133	67	633
[S]	-118	85	784
[S]	-133	184	833
[S]	-151	184	751
[G]	2012-08-24 15:49:34	N39.806363	W86.158916	56	3
[S]	-100	85	684
[S]	-151	133	666
[S]	-133	151	751
[S]	-151	166	751
[S]	-100	151	766
[S]	-118	118	751
[S]	-118	151	717
[S]	-100	118	733
[S]	-67	100	717
[S]	-85	151	733
[G]	2012-08-24 15:49:36	N39.806653	W86.158920	56	2
[S]	-85	85	751
[S]	-166	166	733
[S]	-85	85	751
[S]	-133	67	733
[S]	-67	118	684
[S]	-100	151	766
[S]	-151	85	651
[S]	-118	100	784
[S]	-100	118	733
[S]	-67	118	733
[G]	2012-08-24 15:49:37	N39.806785	W86.158911	54	3
[S]	-118	166	717
